CUSTOMERNAME,PREDICTED_NEXT_PURCHASE_DAYS,RECOMMENDED_COUNTRY,RECOMMENDED_PRODUCT,TOTAL_SPENT,ORDER_COUNT,CAMPAIGN_DATE,PRIORITY_GROUP,VALUE_SEGMENT
Mini Creations Ltd.,1.25,USA,Ships,95672.21,3,2005-05-26 06:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
"Corrida Auto Replicas, Ltd",3.44,Spain,Vintage Cars,95243.42,3,2005-05-28 10:33:36,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Baane Mini Imports,0.86,Norway,Trucks and Buses,95223.90000000001,4,2005-05-25 20:38:24,HIGH PRIORITY (Within 30 days),STANDARD VALUE
"Vida Sport, Ltd",1.17,Switzerland,Classic Cars,93344.91,2,2005-05-26 04:04:48,HIGH PRIORITY (Within 30 days),STANDARD VALUE
"UK Collectables, Ltd.",0.0,UK,Classic Cars,93250.59,3,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
"Oulu Toy Supplies, Inc.",0.0,Finland,Classic Cars,90762.29,3,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
"Toys of Finland, Co.",0.0,Finland,Classic Cars,89199.15000000001,3,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Suominen Souveniers,0.0,Finland,Classic Cars,88753.26,3,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Herkku Gifts,0.0,Finland,Classic Cars,86339.11,3,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Toys4GrownUps.com,0.0,USA,Motorcycles,86224.95,3,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Marta's Replicas Co.,1.72,USA,Motorcycles,82219.39,2,2005-05-26 17:16:48,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Cruz & Sons Co.,0.0,Philippines,Classic Cars,80291.17,3,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Auto Canal Petit,2.11,France,Motorcycles,79857.6,3,2005-05-27 02:38:24,HIGH PRIORITY (Within 30 days),STANDARD VALUE
"Toms Spezialitten, Ltd",0.86,Philippines,Classic Cars,79042.13,2,2005-05-25 20:38:24,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Gift Depot Inc.,2.58,USA,Classic Cars,79021.41,3,2005-05-27 13:55:12,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Collectable Mini Designs Co.,0.39,USA,Classic Cars,78462.07,2,2005-05-25 09:21:36,HIGH PRIORITY (Within 30 days),STANDARD VALUE
"Stylish Desk Decors, Co.",0.0,UK,Trucks and Buses,78358.6,3,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Gifts4AllAges.com,0.86,USA,Ships,77547.62,3,2005-05-25 20:38:24,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Heintze Collectables,0.0,Finland,Classic Cars,77478.79,2,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
FunGiftIdeas.com,0.0,USA,Classic Cars,77027.44,3,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Tekni Collectables Inc.,4.37,USA,Planes,75587.42,3,2005-05-29 08:52:48,HIGH PRIORITY (Within 30 days),STANDARD VALUE
"La Corne D'abondance, Co.",1.65,France,Classic Cars,73965.52,3,2005-05-26 15:36:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Enaco Distributors,0.0,Spain,Ships,73927.0,3,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Mini Classics,0.0,USA,Planes,73650.48,2,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
giftsbymail.co.uk,0.0,UK,Planes,73170.13,2,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Signal Gift Stores,5.48,USA,Classic Cars,72829.05,3,2005-05-30 11:31:12,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Amica Models & Co.,0.0,Italy,Vintage Cars,72645.01,2,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
"Royal Canadian Collectables, Ltd.",0.0,Canada,Planes,71492.33,2,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Petit Auto,1.72,Belgium,Vintage Cars,68568.18,3,2005-05-26 17:16:48,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Vitachrome Inc.,0.0,USA,Motorcycles,67511.37,3,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Collectables For Less Inc.,0.0,USA,Classic Cars,67164.37,3,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
"Blauer See Auto, Co.",0.86,Germany,Classic Cars,66945.37,4,2005-05-25 20:38:24,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Mini Caravy,0.0,France,Classic Cars,65824.33,3,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
"Norway Gifts By Mail, Co.",0.78,Norway,Classic Cars,64552.79,2,2005-05-25 18:43:12,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Classic Legends Inc.,0.39,USA,Classic Cars,64121.82,3,2005-05-25 09:21:36,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Motor Mint Distributors Inc.,0.0,USA,Classic Cars,63091.46,3,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Quebec Home Shopping Network,0.0,Canada,Classic Cars,61414.1,3,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Marseille Mini Autos,29.4,France,Classic Cars,61161.119999999995,3,2005-06-23 09:36:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Canadian Gift Exchange Network,0.0,Canada,Trucks and Buses,60597.91,2,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Mini Wheels Co.,0.0,USA,Vintage Cars,60243.28,3,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Lyon Souveniers,1.68,France,Motorcycles,59136.7,3,2005-05-26 16:19:12,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Alpha Cognac,1.68,France,Ships,58885.28,3,2005-05-26 16:19:12,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Super Scale Inc.,2.73,USA,Classic Cars,58413.33,2,2005-05-27 17:31:12,HIGH PRIORITY (Within 30 days),STANDARD VALUE
"Volvo Model Replicas, Co",2.51,France,Classic Cars,58374.21,4,2005-05-27 12:14:24,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Daedalus Designs Imports,3.36,France,Vintage Cars,56856.39,2,2005-05-28 08:38:24,HIGH PRIORITY (Within 30 days),STANDARD VALUE
"Classic Gift Ideas, Inc",0.0,USA,Vintage Cars,56799.98,2,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Diecast Collectables,0.0,USA,Trucks and Buses,56374.92,2,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
"Australian Collectables, Ltd",10.98,Australia,Vintage Cars,56139.62,3,2005-06-04 23:31:12,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Osaka Souveniers Co.,0.0,Canada,Planes,55620.65,2,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Auto Assoc. & Cie.,0.0,France,Vintage Cars,53364.97,2,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Gift Ideas Corp.,0.0,USA,Planes,52681.08,3,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Online Mini Collectables,23.4,USA,Classic Cars,48385.01,2,2005-06-17 09:36:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Mini Auto Werke,0.0,Austria,Classic Cars,46505.2,3,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
"Australian Gift Network, Co",0.0,Australia,Classic Cars,46399.18,3,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
"Iberia Gift Imports, Corp.",2.58,Spain,Trucks and Buses,45684.78,2,2005-05-27 13:55:12,HIGH PRIORITY (Within 30 days),STANDARD VALUE
"Clover Collections, Co.",0.39,Ireland,Classic Cars,43237.24,2,2005-05-25 09:21:36,HIGH PRIORITY (Within 30 days),STANDARD VALUE
"Men 'R' US Retailers, Ltd.",0.0,USA,Classic Cars,42093.78,2,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
West Coast Collectables Co.,2.11,USA,Vintage Cars,41506.23,2,2005-05-27 02:38:24,HIGH PRIORITY (Within 30 days),STANDARD VALUE
CAF Imports,0.39,Spain,Ships,40655.72,2,2005-05-25 09:21:36,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Signal Collectibles Ltd.,0.0,USA,Vintage Cars,39514.34,2,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
"Bavarian Collectables Imports, Co.",18.9,UK,Vintage Cars,32701.58,1,2005-06-12 21:36:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
"Double Decker Gift Stores, Ltd",0.0,UK,Vintage Cars,31550.77,2,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Cambridge Collectables Co.,1.25,USA,Vintage Cars,31147.37,2,2005-05-26 06:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Microscale Inc.,0.0,USA,Motorcycles,28205.230000000003,2,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Royale Belge,4.29,Belgium,Classic Cars,25960.7,4,2005-05-29 06:57:36,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Auto-Moto Classics Inc.,2.04,USA,Ships,25596.16,3,2005-05-27 00:57:36,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Atelier graphique,10.76,France,Classic Cars,21213.16,3,2005-06-04 18:14:24,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Euro Shopping Channel,35.7,Spain,Classic Cars,766195.05,26,2005-06-29 16:48:00,MEDIUM PRIORITY (Future opportunity),HIGH VALUE
Mini Gifts Distributors Ltd.,77.7,USA,Classic Cars,530587.19,17,2005-08-10 16:48:00,MEDIUM PRIORITY (Future opportunity),HIGH VALUE
"Australian Collectors, Co.",39.9,Australia,Motorcycles,164575.87,5,2005-07-03 21:36:00,MEDIUM PRIORITY (Future opportunity),HIGH VALUE
"Dragon Souveniers, Ltd.",137.36,Singapore,Classic Cars,131279.95,5,2005-10-09 08:38:24,MEDIUM PRIORITY (Future opportunity),HIGH VALUE
"Tokyo Collectables, Ltd",50.74,Japan,Vintage Cars,97456.04,4,2005-07-14 17:45:36,MEDIUM PRIORITY (Future opportunity),STANDARD VALUE
Boards & Toys Co.,346.5,USA,Classic Cars,8642.15,2,2006-05-06 12:00:00,MEDIUM PRIORITY (Future opportunity),STANDARD VALUE
